label,num_blocks,mode,use_sd,wall_time_s,throughput_tps,avg_per_req_tps,avg_latency_s,total_tokens,ok_requests,failed_requests,kv_cache_tokens,kv_cache_gib,avg_acceptance_rate,avg_mean_acceptance_length,peak_kv_usage_pct
B8000_baseline,8000,baseline,False,500.17,15.11,0.46,310.78,7560,50,0,128000,12.52,,,4.1
B8000_sd,8000,sd,True,534.89,14.33,0.47,315.78,7663,50,0,128000,11.49,46.596363636363634,2.3980000000000006,4.1
B1500_baseline,1500,baseline,False,476.48,15.85,0.48,296.36,7550,50,0,24000,12.52,,,22.1
B1500_sd,1500,sd,True,534.0,14.36,0.46,316.42,7667,50,0,24000,11.49,46.17407407407407,2.385925925925926,22.1
B1000_baseline,1000,baseline,False,477.06,15.83,0.48,296.52,7550,50,0,16000,12.52,,,32.9
B1000_sd,1000,sd,True,534.9,14.33,0.47,315.78,7663,50,0,16000,11.49,44.73148148148148,2.3416666666666663,33.1
B800_baseline,800,baseline,False,477.23,15.82,0.48,296.64,7550,50,0,12800,12.52,,,41.3
B800_sd,800,sd,True,533.98,14.36,0.46,316.43,7667,50,0,12800,11.49,45.00185185185188,2.3503703703703707,41.6
B600_baseline,600,baseline,False,476.97,15.85,0.48,296.8,7560,50,0,9600,12.52,,,55.1
B600_sd,600,sd,True,534.88,14.33,0.47,315.78,7663,50,0,9600,11.49,44.61851851851853,2.338518518518518,55.3
