layer,jaccard,shared_experts,union_size,adjacent_shared
0,0.0749,0.96,26.9,1.08
1,0.1232,1.59,24.1,2.03
2,0.1734,2.13,22.1,2.67
3,0.2237,2.73,20.5,3.23
4,0.2311,2.74,20.1,3.28
5,0.2584,3.01,19.6,3.51
6,0.3835,4.17,16.3,4.49
7,0.4249,4.49,15.7,4.83
8,0.3778,4.20,16.6,4.59
9,0.3169,3.58,17.9,4.07
10,0.2594,3.04,19.3,3.54
11,0.2414,2.91,19.7,3.38
12,0.2672,3.12,19.2,3.53
13,0.1996,2.47,21.2,2.91
14,0.2992,3.49,18.4,3.86
15,0.3290,3.73,17.8,4.00
16,0.2940,3.45,18.9,3.75
17,0.2448,2.92,20.0,3.27
18,0.4435,4.68,14.9,4.96
19,0.4606,4.74,15.1,4.89
20,0.4112,4.45,15.9,4.64
21,0.3449,3.87,17.3,4.12
22,0.2814,3.26,18.8,3.61
23,0.2450,2.92,19.9,3.36
24,0.2925,3.36,18.4,3.67
25,0.2092,2.53,20.9,2.91
26,0.2958,3.42,18.4,3.72
27,0.3469,3.90,17.4,4.17
28,0.3195,3.67,18.4,3.95
29,0.2554,3.01,19.9,3.37
30,0.4333,4.63,15.1,4.91
31,0.4867,5.02,14.4,5.15
32,0.4331,4.66,15.5,4.93
33,0.3495,3.94,17.0,4.27
34,0.2738,3.20,19.0,3.65
35,0.2368,2.85,20.2,3.34
36,0.2696,3.17,19.3,3.59
37,0.1917,2.35,21.7,2.78
38,0.2825,3.35,18.9,3.71
39,0.3216,3.65,18.1,4.01
40,0.2756,3.23,19.5,3.61
41,0.2433,2.87,20.3,3.21
42,0.2462,2.89,20.2,3.28
43,0.3181,3.57,18.2,3.91
44,0.2852,3.32,18.9,3.63
45,0.3243,3.63,18.1,3.82
46,0.2286,2.63,20.9,2.84
47,0.1418,1.67,24.0,1.96
